[Sat Aug 06 15:23:45.631939 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2436] Invalid HTTP_HOST header: '127.0.0.3:9999'. You may need to add '127.0.0.3' to ALLOWED_HOSTS.\r
[Sat Aug 06 15:23:45.837939 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2436] Bad Request: /\r
[Sat Aug 06 15:23:45.995987 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2437] Invalid HTTP_HOST header: '127.0.0.3:9999'. You may need to add '127.0.0.3' to ALLOWED_HOSTS.\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:23:46.057940 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2437] Bad Request: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:24:08.448940 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2443] Invalid HTTP_HOST header: '127.0.0.3:9999'. You may need to add '127.0.0.3' to ALLOWED_HOSTS.\r
[Sat Aug 06 15:24:08.501945 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2443] Bad Request: /\r
[Sat Aug 06 15:25:41.276942 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2449] Invalid HTTP_HOST header: '127.0.0.3:9999'. You may need to add '127.0.0.3' to ALLOWED_HOSTS.\r
[Sat Aug 06 15:25:41.311937 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2449] Bad Request: /\r
[Sat Aug 06 15:25:41.394942 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2450] Invalid HTTP_HOST header: '127.0.0.3:9999'. You may need to add '127.0.0.3' to ALLOWED_HOSTS.\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:25:41.451942 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2450] Bad Request: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:26:12.697940 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2455] Invalid HTTP_HOST header: '127.0.0.3:9999'. You may need to add '127.0.0.3' to ALLOWED_HOSTS.\r
[Sat Aug 06 15:26:12.730939 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2455] Bad Request: /\r
[Sat Aug 06 15:26:12.813941 2022] [wsgi:error] [pid 5144:tid 1548] [client 127.0.0.1:2456] Invalid HTTP_HOST header: '127.0.0.3:9999'. You may need to add '127.0.0.3' to ALLOWED_HOSTS.\r, referer: http://127.0.0.3:9999/
